,symbol,sm_name,desc,an_dt,t_date,open,adj_close,intraday_return
2668,JUBLINGREA,Jubilant Ingrevia Limited,Record Date,2022-02-01 18:55:13,2022-02-02 18:55:13,598.0,590.22,-1.3010033444816007
2669,POWERGRID,Power Grid Corporation of India Limited,Record Date,2022-02-01 18:53:55,2022-02-02 18:53:55,161.14,137.08,-14.931115799925514
2670,GREENLAM,Greenlam Industries Limited,Record Date,2022-02-01 17:17:01,2022-02-02 17:17:01,377.98,385.28,1.9313191174136077
2671,JUBLINGREA,Jubilant Ingrevia Limited,Record Date,2022-02-01 16:34:55,2022-02-02 16:34:55,598.0,590.22,-1.3010033444816007
2672,TIDEWATER,Tide Water Oil Company (India) Limited,Record Date,2022-02-01 15:56:18,2022-02-02 15:56:18,1433.0,1317.44,-8.064200976971385
2675,ORIENTCEM,Orient Cement Limited,Record Date,2022-01-31 18:36:12,2022-02-01 18:36:12,168.0,163.59,-2.624999999999998
2676,IOC,Indian Oil Corporation Limited,Record Date,2022-01-31 17:53:59,2022-02-01 17:53:59,84.0,70.01,-16.654761904761898
2677,PITTIENG,Pitti Engineering Limited,Record Date,2022-01-31 17:41:30,2022-02-01 17:41:30,270.0,265.18,-1.7851851851851828
2678,BPCL,Bharat Petroleum Corporation Limited,Record Date,2022-01-31 17:24:09,2022-02-01 17:24:09,395.0,346.9,-12.177215189873422
2679,TORNTPOWER,Torrent Power Limited,Record Date,2022-01-31 16:56:36,2022-02-01 16:56:36,545.5,517.9,-5.059578368469299
2680,HAL,Hindustan Aeronautics Limited,Record Date,2022-01-31 16:52:46,2022-02-01 16:52:46,728.83,662.49,-9.102259786232734
2681,GPTINFRA,GPT Infraprojects Limited,Record Date,2022-01-31 16:03:32,2022-02-01 16:03:32,39.75,36.14,-9.081761006289307
2686,PRECWIRE,Precision Wires India Limited,Record Date,2022-01-29 20:56:10,2022-01-30 20:56:10,78.0,73.23,-6.1153846153846105
2687,GRAVITA,Gravita India Limited,Record Date,2022-01-29 20:48:52,2022-01-30 20:48:52,344.45,333.16,-3.2776890695311263
2690,BLUEDART,Blue Dart Express Limited,Record Date,2022-01-28 19:01:31,2022-01-29 19:01:31,6856.0,6813.74,-0.6163943990665143
2691,SHRIPISTON,Shriram Pistons & Rings Limited,Record Date,2022-01-28 18:05:47,2022-01-29 18:05:47,422.1,391.13,-7.33712390428809
2692,NACLIND,NACL Industries Limited,Record Date,2022-01-28 17:48:11,2022-01-29 17:48:11,95.05,88.27,-7.13308784850079
2693,BEL,Bharat Electronics Limited,Record Date,2022-01-28 17:37:05,2022-01-29 17:37:05,71.57,67.32,-5.938242280285036
2699,JBMA,JBM Auto Limited,Record Date,2022-01-27 20:55:29,2022-01-28 20:55:29,615.18,592.89,-3.6233297571442447
2700,MOTILALOFS,Motilal Oswal Financial Services Limited,Record Date,2022-01-27 18:16:06,2022-01-28 18:16:06,840.1,831.57,-1.0153553148434677
2701,CONTROLPR,Control Print Limited,Record Date,2022-01-27 18:13:04,2022-01-28 18:13:04,405.0,370.6,-8.493827160493822
2702,COFORGE,Coforge Limited,Record Date,2022-01-27 17:42:32,2022-01-28 17:42:32,4601.5,4561.73,-0.8642833858524489
2703,KKCL,Kewal Kiran Clothing Limited,Record Date,2022-01-27 17:25:56,2022-01-28 17:25:56,233.2,214.02,-8.224699828473405
2704,MRF,MRF Limited,Record Date,2022-01-27 17:20:28,2022-01-28 17:20:28,71070.0,71072.44,0.00343323483889451
2705,KEI,KEI Industries Limited,Record Date,2022-01-27 17:12:26,2022-01-28 17:12:26,1100.0,1085.12,-1.3527272727272825
2706,ROUTE,ROUTE MOBILE LIMITED,Record Date,2022-01-27 16:28:50,2022-01-28 16:28:50,1574.0,1581.0,0.44472681067344344
2710,BEML,BEML Limited,Record Date,2022-01-25 19:10:37,2022-01-26 19:10:37,1750.0,1764.71,0.8405714285714306
2711,KPITTECH,KPIT Technologies Limited,Record Date,2022-01-25 18:11:51,2022-01-26 18:11:51,649.0,627.05,-3.3821263482280504
2712,SBCL,Shivalik Bimetal Controls Limited,Record Date,2022-01-25 16:18:31,2022-01-26 16:18:31,278.67,296.51,6.401837298596897
2713,NITINSPIN,Nitin Spinners Limited,Record Date,2022-01-25 15:25:23,2022-01-26 15:25:23,285.0,292.5,2.6315789473684212
2714,IEX,Indian Energy Exchange Limited,Record Date,2022-01-24 18:20:57,2022-01-25 18:20:57,238.0,232.69,-2.231092436974791
2715,ALKEM,Alkem Laboratories Limited,Record Date,2022-01-24 18:05:12,2022-01-25 18:05:12,3456.0,3386.28,-2.0173611111111054
2716,GMMPFAUDLR,GMM Pfaudler Limited,Record Date,2022-01-24 16:53:47,2022-01-25 16:53:47,1543.3,1570.71,1.776064277846179
