,symbol,sm_name,desc,an_dt,t_date,open,adj_close,intraday_return
696,KTKBANK,The Karnataka Bank Limited,Record Date,2023-08-03 15:43:45,2023-08-04 15:43:45,219.95,209.57,-4.7192543759945424
697,HAL,Hindustan Aeronautics Limited,Record Date,2023-08-03 15:35:29,2023-08-04 15:35:29,1892.5,1861.05,-1.6618229854689588
701,JBMA,JBM Auto Limited,Record Date,2023-08-02 20:44:33,2023-08-03 20:44:33,1362.0,1340.02,-1.61380323054332
702,AMRUTANJAN,Amrutanjan Health Care Limited,Record Date,2023-08-02 17:47:15,2023-08-03 17:47:15,650.0,637.19,-1.9707692307692224
703,NHPC,NHPC Limited,Record Date,2023-08-02 17:07:48,2023-08-03 17:07:48,49.15,49.2,0.10172939979654988
704,CLEDUCATE,CL Educate Limited,Record Date,2023-08-02 16:40:07,2023-08-03 16:40:07,77.0,74.3,-3.50649350649351
708,BHARTIARTL,Bharti Airtel Limited,Record Date,2023-08-01 22:19:02,2023-08-02 22:19:02,883.2,874.08,-1.0326086956521743
709,JINDRILL,Jindal Drilling And Industries Limited,Record Date,2023-08-01 22:04:39,2023-08-02 22:04:39,399.05,383.71,-3.8441298082947077
710,MAHSEAMLES,Maharashtra Seamless Limited,Record Date,2023-08-01 21:18:23,2023-08-02 21:18:23,495.35,473.92,-4.326233975976584
711,OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,Record Date,2023-08-01 19:27:33,2023-08-02 19:27:33,57.09,55.28,-3.17043265020144
712,METROBRAND,Metro Brands Limited,Record Date,2023-08-01 19:20:10,2023-08-02 19:20:10,1021.0,1050.65,2.9040156709108804
713,METROBRAND,Metro Brands Limited,Record Date,2023-08-01 19:17:49,2023-08-02 19:17:49,1021.0,1050.65,2.9040156709108804
714,GMMPFAUDLR,GMM Pfaudler Limited,Record Date,2023-08-01 18:30:24,2023-08-02 18:30:24,1450.0,1443.27,-0.46413793103448403
715,WONDERLA,Wonderla Holidays Limited,Record Date,2023-08-01 18:07:46,2023-08-02 18:07:46,623.0,618.7,-0.6902086677367503
716,IRISDOREME,Iris Clothings Limited,Record Date,2023-08-01 17:27:45,2023-08-02 17:27:45,91.74,89.88,-2.0274689339437537
718,JUBLPHARMA,Jubilant Pharmova Limited,Record Date,2023-07-31 23:13:25,2023-08-01 23:13:25,378.0,368.44,-2.5291005291005297
719,JUBLINGREA,Jubilant Ingrevia Limited,Record Date,2023-07-31 20:33:07,2023-08-01 20:33:07,415.95,421.45,1.322274311816324
720,MGL,Mahanagar Gas Limited,Record Date,2023-07-31 19:55:35,2023-08-01 19:55:35,1118.3,1094.25,-2.1505857104533628
721,CONTROLPR,Control Print Limited,Record Date,2023-07-31 19:31:45,2023-08-01 19:31:45,639.1,684.9,7.1663276482553515
722,SOUTHBANK,The South Indian Bank Limited,Record Date,2023-07-31 18:40:23,2023-08-01 18:40:23,19.7,19.91,1.0659898477157403
723,JSWSTEEL,JSW Steel Limited,Record Date,2023-07-31 18:32:58,2023-08-01 18:32:58,823.0,820.9,-0.255164034021874
724,MAXVIL,Max Ventures and Industries Limited,Record Date,2023-07-31 18:11:06,2023-08-01 18:11:06,0.0,0.0,0.0
725,RPPL,Rajshree Polypack Limited,Record Date,2023-07-31 16:18:18,2023-08-01 16:18:18,163.0,156.04,-4.269938650306753
726,BPCL,Bharat Petroleum Corporation Limited,Record Date,2023-07-31 15:35:22,2023-08-01 15:35:22,377.5,356.49,-5.565562913907282
729,HGINFRA,H.G. Infra Engineering Limited,Record Date,2023-07-29 21:46:03,2023-07-30 21:46:03,938.5,949.01,1.1198721363878519
730,MANAKCOAT,Manaksia Coated Metals & Industries Limited,Record Date,2023-07-29 17:38:32,2023-07-30 17:38:32,17.25,16.92,-1.9130434782608596
731,DLINKINDIA,D-Link (India) Limited,Record Date,2023-07-29 16:02:50,2023-07-30 16:02:50,307.65,294.47,-4.284089062246043
734,NDLVENTURE,NDL Ventures Limited,Record Date,2023-07-28 18:27:13,2023-07-29 18:27:13,126.0,127.8,1.4285714285714264
735,ISGEC,Isgec Heavy Engineering Limited,Record Date,2023-07-28 17:44:58,2023-07-29 17:44:58,727.2,735.42,1.1303630363036183
736,NACLIND,NACL Industries Limited,Record Date,2023-07-28 17:43:19,2023-07-29 17:43:19,83.45,80.95,-2.9958058717795084
737,BALKRISIND,Balkrishna Industries Limited,Record Date,2023-07-28 16:50:11,2023-07-29 16:50:11,2464.7,2529.95,2.6473810200024346
738,IRCTC,Indian Railway Catering And Tourism Corporation Limited,Record Date,2023-07-28 16:11:22,2023-07-29 16:11:22,632.5,636.33,0.6055335968379512
739,PEL,Piramal Enterprises Limited,Record Date,2023-07-28 15:52:23,2023-07-29 15:52:23,1078.0,1011.75,-6.145640074211503
741,PFIZER,Pfizer Limited,Record Date,2023-07-27 22:06:50,2023-07-28 22:06:50,3900.0,3973.13,1.8751282051282079
742,ACCELYA,Accelya Solutions India Limited,Record Date,2023-07-27 20:09:03,2023-07-28 20:09:03,1416.3,1310.46,-7.472993009955513
743,ACCELYA,Accelya Solutions India Limited,Record Date,2023-07-27 19:49:44,2023-07-28 19:49:44,1416.3,1310.46,-7.472993009955513
744,SHYAMMETL,Shyam Metalics and Energy Limited,Record Date,2023-07-27 18:21:45,2023-07-28 18:21:45,403.0,393.7,-2.3076923076923106
748,SIRCA,Sirca Paints India Limited,Record Date,2023-07-26 22:19:29,2023-07-27 22:19:29,369.7,360.74,-2.423586691912356
749,WONDERLA,Wonderla Holidays Limited,Record Date,2023-07-26 17:46:43,2023-07-27 17:46:43,605.0,622.04,2.8165289256198287
750,GODFRYPHLP,Godfrey Phillips India Limited,Record Date,2023-07-26 17:38:21,2023-07-27 17:38:21,1975.0,1869.37,-5.348354430379753
751,MANINDS,Man Industries (India) Limited,Record Date,2023-07-26 16:53:08,2023-07-27 16:53:08,134.0,137.35,2.4999999999999956
752,MANYAVAR,Vedant Fashions Limited,Record Date,2023-07-26 16:25:10,2023-07-27 16:25:10,1220.0,1226.67,0.5467213114754158
753,MANYAVAR,Vedant Fashions Limited,Record Date,2023-07-26 16:23:05,2023-07-27 16:23:05,1220.0,1226.67,0.5467213114754158
754,RECLTD,REC Limited,Record Date,2023-07-26 15:51:23,2023-07-27 15:51:23,173.75,183.69,5.7208633093525165
757,HINDALCO,Hindalco Industries Limited,Record Date,2023-07-25 19:23:16,2023-07-26 19:23:16,449.5,446.09,-0.7586206896551779
758,AJMERA,Ajmera Realty & Infra India Limited,Record Date,2023-07-25 18:56:34,2023-07-26 18:56:34,398.0,380.44,-4.412060301507538
759,KAMDHENU,Kamdhenu Limited,Record Date,2023-07-25 18:17:02,2023-07-26 18:17:02,313.15,308.88,-1.3635637873223638
760,MANINFRA,Man Infraconstruction Limited,Record Date,2023-07-25 16:42:59,2023-07-26 16:42:59,123.0,118.66,-3.5284552845528485
761,POWERGRID,Power Grid Corporation of India Limited,Record Date,2023-07-25 16:40:10,2023-07-26 16:40:10,190.43,179.95,-5.503334558630478
766,ADSL,Allied Digital Services Limited,Record Date,2023-07-24 17:45:32,2023-07-25 17:45:32,152.7,137.27,-10.104780615586103
767,LICHSGFIN,LIC Housing Finance Limited,Record Date,2023-07-24 17:30:50,2023-07-25 17:30:50,391.95,384.64,-1.8650338053323134
768,RELAXO,Relaxo Footwears Limited,Record Date,2023-07-24 17:27:13,2023-07-25 17:27:13,955.0,944.78,-1.07015706806283
769,COALINDIA,Coal India Limited,Record Date,2023-07-24 16:33:46,2023-07-25 16:33:46,232.3,216.08,-6.9823504089539385
775,WOCKPHARMA,Wockhardt Limited,Record Date,2023-07-21 19:45:56,2023-07-22 19:45:56,244.0,240.3,-1.5163934426229462
776,GATEWAY,Gateway Distriparks Limited,Record Date,2023-07-21 18:36:37,2023-07-22 18:36:37,74.25,75.45,1.61616161616162
777,AARTIDRUGS,Aarti Drugs Limited,Record Date,2023-07-21 16:54:24,2023-07-22 16:54:24,571.0,604.34,5.838879159369533
778,SNOWMAN,Snowman Logistics Limited,Record Date,2023-07-21 16:20:38,2023-07-22 16:20:38,51.2,48.31,-5.644531250000001
779,STAR,Strides Pharma Science Limited,Record Date,2023-07-21 16:01:14,2023-07-22 16:01:14,441.65,443.5,0.41888373146156976
782,SUDARSCHEM,Sudarshan Chemical Industries Limited,Record Date,2023-07-20 19:13:51,2023-07-21 19:13:51,482.95,474.62,-1.724816233564548
783,TDPOWERSYS,TD Power Systems Limited,Record Date,2023-07-20 17:18:43,2023-07-21 17:18:43,248.0,252.76,1.9193548387096737
784,360ONE,360 ONE WAM LIMITED,Record Date,2023-07-20 16:47:41,2023-07-21 16:47:41,529.0,504.49,-4.633270321361057
785,LT,Larsen & Toubro Limited,Record Date,2023-07-20 16:28:37,2023-07-21 16:28:37,2522.0,2580.43,2.3168120539254495
786,COFORGE,Coforge Limited,Record Date,2023-07-20 15:35:05,2023-07-21 15:35:05,4820.95,4590.68,-4.776444476711012
790,ROUTE,ROUTE MOBILE LIMITED,Record Date,2023-07-19 20:34:31,2023-07-20 20:34:31,1493.0,1478.81,-0.9504353650368422
791,SYMPHONY,Symphony Limited,Record Date,2023-07-19 19:43:32,2023-07-20 19:43:32,868.15,876.04,0.9088291193918087
792,QUICKHEAL,Quick Heal Technologies Limited,Record Date,2023-07-19 19:41:13,2023-07-20 19:41:13,172.0,164.08,-4.604651162790691
793,VAIBHAVGBL,Vaibhav Global Limited,Record Date,2023-07-19 15:24:22,2023-07-20 15:24:22,341.6,331.67,-2.906908665105388
795,BANDHANBNK,Bandhan Bank Limited,Record Date,2023-07-19 00:04:45,2023-07-19 00:04:45,216.2,213.14,-1.4153561517113795
796,AUTOAXLES,Automotive Axles Limited,Record Date,2023-07-18 22:58:59,2023-07-19 22:58:59,2209.0,2184.86,-1.0928021729289215
797,CHENNPETRO,Chennai Petroleum Corporation Limited,Record Date,2023-07-18 21:19:50,2023-07-19 21:19:50,437.0,413.32,-5.418764302059499
798,CENTUM,Centum Electronics Limited,Record Date,2023-07-18 18:22:49,2023-07-19 18:22:49,1421.0,1406.06,-1.0513722730471537
799,VCL,Vaxtex Cotfab Limited,Record Date,2023-07-18 17:55:20,2023-07-19 17:55:20,1.9957,2.1383,7.1453625294382945
800,ADORWELD,Ador Welding Limited,Record Date,2023-07-18 17:08:20,2023-07-19 17:08:20,1233.7,1204.72,-2.349031369052445
801,AEGISCHEM,Aegis Logistics Limited,Record Date,2023-07-18 17:02:33,2023-07-19 17:02:33,360.95,359.18,-0.49037262778777724
802,MINDTECK,Mindteck (India) Limited,Record Date,2023-07-18 16:37:18,2023-07-19 16:37:18,150.0,150.66,0.4399999999999977
803,BROOKS,Brooks Laboratories Limited,Record Date,2023-07-18 16:25:41,2023-07-19 16:25:41,80.23,80.13,-0.12464165524119222
804,PNBGILTS,PNB Gilts Limited,Record Date,2023-07-18 16:23:28,2023-07-19 16:23:28,66.55,67.7,1.7280240420736375
806,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Record Date,2023-07-17 23:54:22,2023-07-18 23:54:22,731.0,723.29,-1.054719562243507
807,EVERESTIND,Everest Industries Limited,Record Date,2023-07-17 19:03:27,2023-07-18 19:03:27,860.05,839.72,-2.363816057205968
808,SHAREINDIA,Share India Securities Limited,Record Date,2023-07-17 18:15:09,2023-07-18 18:15:09,1214.0,1209.79,-0.3467874794069223
809,SHAREINDIA,Share India Securities Limited,Record Date,2023-07-17 18:10:28,2023-07-18 18:10:28,1214.0,1209.79,-0.3467874794069223
810,RITES,RITES Limited,Record Date,2023-07-17 17:10:30,2023-07-18 17:10:30,411.0,397.0,-3.40632603406326
811,SRF,SRF Limited,Record Date,2023-07-17 16:30:14,2023-07-18 16:30:14,2248.7,2218.8,-1.3296571352336746
812,SARDAEN,Sarda Energy & Minerals Limited,Record Date,2023-07-17 16:12:13,2023-07-18 16:12:13,162.17,171.72,5.888882037368202
817,SAREGAMA,Saregama India Limited,Record Date,2023-07-15 19:06:56,2023-07-16 19:06:56,433.0,425.0,-1.8475750577367205
818,IGARASHI,Igarashi Motors India Limited,Record Date,2023-07-15 18:02:34,2023-07-16 18:02:34,481.0,486.36,1.114345114345117
819,JINDWORLD,Jindal Worldwide Limited,Record Date,2023-07-15 17:58:08,2023-07-16 17:58:08,315.0,322.94,2.52063492063492
820,MENONBE,Menon Bearings Limited,Record Date,2023-07-15 15:17:03,2023-07-16 15:17:03,135.05,130.09,-3.6727138097001166
821,CCL,CCL Products (India) Limited,Record Date,2023-07-14 19:52:07,2023-07-15 19:52:07,715.0,676.13,-5.436363636363637
822,LYKALABS,Lyka Labs Limited,Record Date,2023-07-14 18:47:45,2023-07-15 18:47:45,107.8,109.9,1.948051948051956
823,ASTRAL,Astral Limited,Record Date,2023-07-14 16:51:05,2023-07-15 16:51:05,1863.95,1832.29,-1.6985434158641637
827,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,Record Date,2023-07-13 21:16:15,2023-07-14 21:16:15,861.0,866.5,0.6387921022067363
828,TCIEXP,TCI Express Limited,Record Date,2023-07-13 20:01:51,2023-07-14 20:01:51,1521.15,1528.18,0.4621503467771076
829,ANGELONE,Angel One Limited,Record Date,2023-07-13 19:27:00,2023-07-14 19:27:00,1745.0,1682.01,-3.60974212034384
830,ORCHPHARMA,Orchid Pharma Limited,Record Date,2023-07-13 18:29:00,2023-07-14 18:29:00,527.0,528.9,0.3605313092979084
831,DLF,DLF Limited,Record Date,2023-07-13 17:49:13,2023-07-14 17:49:13,493.8,489.29,-0.913325232887807
832,IVP,IVP Limited,Record Date,2023-07-13 17:39:04,2023-07-14 17:39:04,160.1,158.98,-0.6995627732667111
833,360ONE,360 ONE WAM LIMITED,Record Date,2023-07-13 17:17:05,2023-07-14 17:17:05,500.05,499.31,-0.14798520147985383
834,BRIGADE,Brigade Enterprises Limited,Record Date,2023-07-13 16:48:16,2023-07-14 16:48:16,585.05,571.48,-2.319459875224329
835,ABSLAMC,Aditya Birla Sun Life AMC Limited,Record Date,2023-07-13 16:13:04,2023-07-14 16:13:04,379.95,378.79,-0.3053033293854371
840,IVP,IVP Limited,Record Date,2023-07-12 18:43:03,2023-07-13 18:43:03,159.0,158.63,-0.23270440251572613
841,POWERINDIA,Hitachi Energy India Limited,Record Date,2023-07-12 18:40:32,2023-07-13 18:40:32,4220.25,4149.22,-1.6830756471772939
842,ALEMBICLTD,Alembic Limited,Record Date,2023-07-12 18:34:05,2023-07-13 18:34:05,78.6,75.19,-4.3384223918575024
843,HCLTECH,HCL Technologies Limited,Record Date,2023-07-12 18:20:48,2023-07-13 18:20:48,1100.0,1072.34,-2.514545454545462
844,ASHIANA,Ashiana Housing Limited,Record Date,2023-07-12 17:58:53,2023-07-13 17:58:53,228.0,207.93,-8.802631578947365
845,AARTIIND,Aarti Industries Limited,Record Date,2023-07-12 16:56:07,2023-07-13 16:56:07,456.1,446.84,-2.0302565226924023
846,AVANTIFEED,Avanti Feeds Limited,Record Date,2023-07-12 16:53:31,2023-07-13 16:53:31,407.85,402.03,-1.4269952188304647
847,MUKANDLTD,Mukand Limited,Record Date,2023-07-12 16:38:53,2023-07-13 16:38:53,127.7,122.23,-4.283476898981988
850,DIAMONDYD,Prataap Snacks Limited,Record Date,2023-07-11 19:04:22,2023-07-12 19:04:22,792.0,797.6,0.70707070707071
851,SHRIPISTON,Shriram Pistons & Rings Limited,Record Date,2023-07-11 18:30:10,2023-07-12 18:30:10,1137.47,1138.97,0.13187160980069804
852,MATRIMONY,Matrimony.Com Limited,Record Date,2023-07-11 17:45:50,2023-07-12 17:45:50,625.75,625.11,-0.1022772672792627
853,GREAVESCOT,Greaves Cotton Limited,Record Date,2023-07-11 17:10:51,2023-07-12 17:10:51,141.2,138.25,-2.0892351274787457
854,NBIFIN,N. B. I. Industrial Finance Company Limited,Record Date,2023-07-11 16:28:16,2023-07-12 16:28:16,1465.4,1471.32,0.4039852599972598
858,NAVA,NAVA LIMITED,Record Date,2023-07-10 20:52:22,2023-07-11 20:52:22,312.0,306.03,-1.9134615384615472
859,CRISIL,CRISIL Limited,Record Date,2023-07-10 18:27:08,2023-07-11 18:27:08,3831.0,3803.45,-0.7191333855390285
860,VRLLOG,VRL Logistics Limited,Record Date,2023-07-10 16:42:20,2023-07-11 16:42:20,711.0,694.89,-2.2658227848101284
861,PALASHSECU,Palash Securities Limited,Record Date,2023-07-10 16:41:32,2023-07-11 16:41:32,108.0,106.65,-1.2499999999999947
862,KEC,KEC International Limited,Record Date,2023-07-10 16:37:35,2023-07-11 16:37:35,583.15,582.64,-0.08745605761810699
863,TIMKEN,Timken India Limited,Record Date,2023-07-10 16:16:07,2023-07-11 16:16:07,3400.0,3382.88,-0.5035294117647027
868,DHANUKA,Dhanuka Agritech Limited,Record Date,2023-07-09 15:37:07,2023-07-10 15:37:07,792.95,776.75,-2.04300397250773
869,SERVOTECH,Servotech Power Systems Limited,Record Date,2023-07-08 15:52:09,2023-07-09 15:52:09,150.4,150.0,-0.2659574468085144
875,CUMMINSIND,Cummins India Limited,Record Date,2023-07-07 20:25:43,2023-07-08 20:25:43,1904.0,1880.5,-1.2342436974789917
876,RPGLIFE,RPG Life Sciences Limited,Record Date,2023-07-07 19:12:20,2023-07-08 19:12:20,916.0,916.34,0.03711790393013448
877,DYCL,Dynamic Cables Limited,Record Date,2023-07-07 18:43:29,2023-07-08 18:43:29,348.4,352.39,1.1452353616532749
878,TFCILTD,Tourism Finance Corporation of India Limited,Record Date,2023-07-07 17:49:41,2023-07-08 17:49:41,77.55,74.9,-3.417150225660853
879,INFOBEAN,InfoBeans Technologies Limited,Record Date,2023-07-07 17:01:52,2023-07-08 17:01:52,517.1,499.52,-3.3997292593308917
880,SUNPHARMA,Sun Pharmaceutical Industries Limited,Record Date,2023-07-07 16:32:29,2023-07-08 16:32:29,1036.0,1041.32,0.5135135135135074
882,ZENSARTECH,Zensar Technologies Limited,Record Date,2023-07-06 16:12:48,2023-07-07 16:12:48,390.0,383.85,-1.576923076923071
883,GOLDIAM,Goldiam International Limited,Record Date,2023-07-06 15:32:15,2023-07-07 15:32:15,131.0,128.59,-1.839694656488547
889,HINDZINC,Hindustan Zinc Limited,Record Date,2023-07-05 21:28:31,2023-07-06 21:28:31,316.0,322.78,2.145569620253156
890,THANGAMAYL,Thangamayil Jewellery Limited,Record Date,2023-07-05 18:08:26,2023-07-06 18:08:26,765.0,768.55,0.4640522875816934
891,SUMICHEM,Sumitomo Chemical India Limited,Record Date,2023-07-05 17:12:06,2023-07-06 17:12:06,446.85,439.81,-1.5754727537204924
893,RNAVAL,Reliance Naval and Engineering Limited,Record Date,2023-07-04 18:15:34,2023-07-05 18:15:34,687.5,687.5,0.0
894,KIRLOSIND,Kirloskar Industries Limited,Record Date,2023-07-04 15:24:00,2023-07-05 15:24:00,3346.5,3282.83,-1.9025847900791895
899,CASTROLIND,Castrol India Limited,Record Date,2023-07-03 22:17:45,2023-07-04 22:17:45,122.4,121.12,-1.045751633986929
900,CHEMBOND,Chembond Chemicals Ltd,Record Date,2023-07-03 19:38:02,2023-07-04 19:38:02,417.5,418.79,0.3089820359281486
901,TASTYBITE,Tasty Bite Eatables Limited,Record Date,2023-07-03 18:09:46,2023-07-04 18:09:46,13800.0,13698.14,-0.7381159420289898
902,JTLIND,JTL INDUSTRIES LIMITED,Record Date,2023-07-03 17:58:23,2023-07-04 17:58:23,180.85,179.96,-0.492120541885533
903,SHARDACROP,Sharda Cropchem Limited,Record Date,2023-07-03 16:55:03,2023-07-04 16:55:03,575.0,563.16,-2.059130434782614
904,ASTRAZEN,AstraZeneca Pharma India Limited,Record Date,2023-07-03 16:26:05,2023-07-04 16:26:05,3820.0,3732.34,-2.2947643979057553
908,ORIENTELEC,Orient Electric Limited,Record Date,2023-06-30 23:04:32,2023-07-01 23:04:32,240.9,238.22,-1.1124948111249509
909,FORTIS,Fortis Healthcare Limited,Record Date,2023-06-30 19:52:02,2023-07-01 19:52:02,319.0,312.8,-1.9435736677115951
910,SRPL,Shree Ram Proteins Limited,Record Date,2023-06-30 18:26:17,2023-07-01 18:26:17,2.625,2.8333,7.935238095238092
911,STYRENIX,Styrenix Performance Materials Limited,Record Date,2023-06-30 18:25:28,2023-07-01 18:25:28,1077.0,1080.18,0.2952646239554377
912,TNPL,Tamil Nadu Newsprint & Papers Limited,Record Date,2023-06-30 17:38:21,2023-07-01 17:38:21,210.0,201.23,-4.176190476190481
913,PRESSMN,Pressman Advertising Limited,Record Date,2023-06-30 17:35:27,2023-07-01 17:35:27,0.0,0.0,0.0
914,TCS,Tata Consultancy Services Limited,Record Date,2023-06-30 17:24:11,2023-07-01 17:24:11,3314.3,3240.37,-2.230636936909763
915,JUBLFOOD,Jubilant Foodworks Limited,Record Date,2023-06-30 17:12:29,2023-07-01 17:12:29,501.5,500.94,-0.11166500498504532
916,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,Record Date,2023-06-30 16:57:01,2023-07-01 16:57:01,0.0,0.0,0.0
917,L&TFH,L&T Finance Holdings Limited,Record Date,2023-06-30 16:41:56,2023-07-01 16:41:56,130.05,135.26,4.006151480199907
918,ORIENTELEC,Orient Electric Limited,Record Date,2023-06-30 16:24:51,2023-07-01 16:24:51,240.9,238.22,-1.1124948111249509
919,MAGADSUGAR,Magadh Sugar & Energy Limited,Record Date,2023-06-30 16:09:24,2023-07-01 16:09:24,415.9,409.62,-1.5099783601827297
920,SUPERHOUSE,Superhouse Limited,Record Date,2023-06-30 15:24:05,2023-07-01 15:24:05,215.05,212.4,-1.2322715647523856
921,AKSHAR,Akshar Spintex Limited,Record Date,2023-06-30 15:18:55,2023-07-01 15:18:55,6.53,6.4845,-0.6967840735068995
926,BBOX,Black Box Limited,Record Date,2023-06-29 18:51:05,2023-06-30 18:51:05,125.65,134.25,6.844409072821324
927,INDIGOPNTS,Indigo Paints Limited,Record Date,2023-06-29 18:28:16,2023-06-30 18:28:16,1425.0,1425.64,0.044912280701761405
928,KIRLOSBROS,Kirloskar Brothers Limited,Record Date,2023-06-29 15:30:25,2023-06-30 15:30:25,600.0,606.41,1.068333333333328
934,LODHA,Macrotech Developers Limited,Record Date,2023-06-28 21:15:46,2023-06-29 21:15:46,663.55,677.94,2.1686383844473065
935,ANGELONE,Angel One Limited,Record Date,2023-06-28 19:13:53,2023-06-29 19:13:53,1720.2,1692.35,-1.618997790954548
936,BLUESTARCO,Blue Star Limited,Record Date,2023-06-27 19:10:14,2023-06-28 19:10:14,779.45,773.54,-0.7582269549041095
937,ATGL,Adani Total Gas Limited,Record Date,2023-06-27 16:24:44,2023-06-28 16:24:44,641.5,641.25,-0.03897116134060795
940,RECLTD,REC Limited,Record Date,2023-06-24 16:13:04,2023-06-25 16:13:04,157.0,148.49,-5.42038216560509
942,HAPPSTMNDS,Happiest Minds Technologies Limited,Record Date,2023-06-23 21:23:28,2023-06-24 21:23:28,955.5,945.52,-1.0444793301936177
943,SATINDLTD,Sat Industries Limited,Record Date,2023-06-23 18:36:07,2023-06-24 18:36:07,82.45,79.9,-3.0927835051546357
944,ONWARDTEC,Onward Technologies Limited,Record Date,2023-06-22 20:04:34,2023-06-23 20:04:34,493.5,476.86,-3.3718338399189434
945,APLLTD,Alembic Pharmaceuticals Limited,Record Date,2023-06-22 18:50:48,2023-06-23 18:50:48,618.95,597.65,-3.4413118991841127
946,ARTEMISMED,Artemis Medicare Services Limited,Record Date,2023-06-22 18:29:17,2023-06-23 18:29:17,110.1,108.5,-1.453224341507715
947,BEPL,Bhansali Engineering Polymers Limited,Record Date,2023-06-22 16:23:22,2023-06-23 16:23:22,85.73,83.52,-2.5778607255336614
950,KPIL,Kalpataru Projects International Limited,Record Date,2023-06-21 18:39:01,2023-06-22 18:39:01,537.0,531.05,-1.1080074487895801
951,SAH,Sah Polymers Limited,Record Date,2023-06-21 16:27:37,2023-06-22 16:27:37,90.0,92.27,2.5222222222222177
954,JAYAGROGN,Jayant Agro Organics Limited,Record Date,2023-06-20 18:10:27,2023-06-21 18:10:27,226.45,216.9,-4.217266504747178
955,TCI,Transport Corporation of India Limited,Record Date,2023-06-20 15:26:08,2023-06-21 15:26:08,720.05,718.74,-0.18193181029094446
958,CANFINHOME,Can Fin Homes Limited,Record Date,2023-06-19 19:21:33,2023-06-20 19:21:33,748.45,747.35,-0.14697040550471277
959,BSE,BSE Limited,Record Date,2023-06-19 16:20:54,2023-06-20 16:20:54,568.95,563.71,-0.9209948150101078
960,AEGISCHEM,Aegis Logistics Limited,Record Date,2023-06-19 16:13:04,2023-06-20 16:13:04,348.85,343.98,-1.396015479432422
961,MOTILALOFS,Motilal Oswal Financial Services Limited,Record Date,2023-06-17 16:32:20,2023-06-18 16:32:20,720.0,709.97,-1.3930555555555517
962,ESCORTS,Escorts Kubota Limited,Record Date,2023-06-16 16:12:53,2023-06-17 16:12:53,2184.8,2185.92,0.051263273526175886
963,PLASTIBLEN,Plastiblends India Limited,Record Date,2023-06-16 15:27:14,2023-06-17 15:27:14,188.0,183.71,-2.281914893617017
965,HCLTECH,HCL Technologies Limited,Record Date,2023-06-15 18:58:18,2023-06-16 18:58:18,1150.0,1110.45,-3.4391304347826046
966,EQUITASBNK,Equitas Small Finance Bank Limited,Record Date,2023-06-15 18:07:36,2023-06-16 18:07:36,87.25,85.33,-2.2005730659025806
967,HITECHCORP,Hitech Corporation Limited,Record Date,2023-06-15 17:40:33,2023-06-16 17:40:33,224.45,226.95,1.1138338159946537
968,EQUITASBNK,Equitas Small Finance Bank Limited,Record Date,2023-06-14 19:15:56,2023-06-15 19:15:56,86.8,86.37,-0.49539170506911595
971,SADHNANIQ,Sadhana Nitrochem Limited,Record Date,2023-06-13 17:28:58,2023-06-14 17:28:58,112.5,111.56,-0.8355555555555535
972,LTTS,L&T Technology Services Limited,Record Date,2023-06-12 17:55:49,2023-06-13 17:55:49,3918.0,3908.03,-0.254466564573757
973,GRAPHITE,Graphite India Limited,Record Date,2023-06-12 17:17:49,2023-06-13 17:17:49,385.6,379.44,-1.5975103734439897
974,AKI,AKI India Limited,Record Date,2023-06-12 17:15:49,2023-06-13 17:15:49,22.74,22.54,-0.8795074758135414
977,MAANALU,Maan Aluminium Limited,Record Date,2023-06-10 15:26:39,2023-06-11 15:26:39,84.29,84.31,0.023727607070822186
978,POLYCAB,Polycab India Limited,Record Date,2023-06-08 23:43:26,2023-06-09 23:43:26,3512.05,3527.47,0.43905980837401565
979,BLUESTARCO,Blue Star Limited,Record Date,2023-06-08 20:28:00,2023-06-09 20:28:00,735.0,723.55,-1.5578231292517069
980,CEATLTD,CEAT Limited,Record Date,2023-06-08 18:45:19,2023-06-09 18:45:19,1957.0,1929.62,-1.3990802248339351
982,LT,Larsen & Toubro Limited,Record Date,2023-06-07 18:42:07,2023-06-08 18:42:07,2316.95,2335.03,0.7803362178726508
983,OBEROIRLTY,Oberoi Realty Limited,Record Date,2023-06-06 19:55:50,2023-06-07 19:55:50,986.45,974.0,-1.2621014749860657
986,TCS,Tata Consultancy Services Limited,Record Date,2023-06-03 17:55:42,2023-06-04 17:55:42,3315.0,3232.77,-2.48054298642534
987,MOL,Meghmani Organics Limited,Record Date,2023-06-03 17:34:02,2023-06-04 17:34:02,83.2,86.11,3.4975961538461497
989,WIPRO,Wipro Limited,Record Date,2023-06-02 18:31:29,2023-06-03 18:31:29,408.9,403.34,-1.3597456590853516
991,VAKRANGEE,Vakrangee Limited,Record Date,2023-06-01 20:09:15,2023-06-02 20:09:15,16.85,17.09,1.4243323442136404
992,GULPOLY,Gulshan Polyols Limited,Record Date,2023-06-01 17:37:35,2023-06-02 17:37:35,215.75,219.75,1.853997682502897
993,VIMTALABS,Vimta Labs Limited,Record Date,2023-06-01 17:04:51,2023-06-02 17:04:51,414.9,410.25,-1.1207519884309418
